PRODUCT,ROUTE,ihs_match
VISBREAKING,VISBREAKING,
PET RESINS,MECH. RECYCLING,PET PELLETS BY CHEMICAL RECYCLING OF PET USING UHDE INVENTA-FISCHER FLAKE TO RESIN (FTR®) PROCESS
POLYESTER FILM,MECH. RECYCLING,"POLYESTER, UNSATURATED FROM PROPYLENE OXIDE AND ANHYDRIDES BY BATCH PROCESS"
EDC,ETHYLENE/CHLORINE,"ETHYLENE DICHLORIDE BY OXYCHLORINATION: FLUIDIZED-BED REACTOR, OXYGEN-BASED (OXY VINYLS)"
EDC,ETHYLENE/CHLORINE,ETHYLENE DICHLORIDE BY DIRECT CHLORINATION: LIQUID-PHASE HTC PROCESS (INOVYL)
EDC,ETHYLENE/CHLORINE,ETHYLENE DICHLORIDE BY DIRECT CHLORINATION: LIQUID-PHASE HTC PROCESS (OXY VINYLS)
EDC,ETHYLENE/CHLORINE,"ETHYLENE DICHLORIDE BY OXYCHLORINATION: FIXED-BED REACTOR, OXYGEN-BASED (INOVYL)"
EDC,ETHYLENE/HYDROGEN CHLORID,"ETHYLENE DICHLORIDE BY OXYCHLORINATION: FLUIDIZED-BED REACTOR, OXYGEN-BASED (OXY VINYLS)"
EDC,ETHYLENE/HYDROGEN CHLORID,ETHYLENE DICHLORIDE BY DIRECT CHLORINATION: LIQUID-PHASE HTC PROCESS (INOVYL)
EDC,ETHYLENE/HYDROGEN CHLORID,ETHYLENE DICHLORIDE BY DIRECT CHLORINATION: LIQUID-PHASE HTC PROCESS (OXY VINYLS)
EDC,ETHYLENE/HYDROGEN CHLORID,"ETHYLENE DICHLORIDE BY OXYCHLORINATION: FIXED-BED REACTOR, OXYGEN-BASED (INOVYL)"
GLYCOL ETHERS,ETHYLENE OXIDE / PROPYLEN,ETHYLENE GLYCOL BUTYL ETHERS FROM ETHYLENE OXIDE AND N-BUTANOL
GLYCOL ETHERS,ETHYLENE OXIDE / PROPYLEN,ETHYLENE GLYCOL ETHYL ETHERS FROM ETHYLENE OXIDE AND ETHANOL
GLYCOL ETHERS,ETHYLENE OXIDE,ETHYLENE GLYCOL ETHYL ETHERS FROM ETHYLENE OXIDE AND ETHANOL
GLYCOL ETHERS,PROPYLENE OXIDE,ETHYLENE GLYCOL BUTYL ETHERS FROM ETHYLENE OXIDE AND N-BUTANOL
GLYCOL ETHERS,PROPYLENE OXIDE,ETHYLENE GLYCOL ETHYL ETHERS FROM ETHYLENE OXIDE AND ETHANOL
POLYESTER FIBRES,PES POLYMER,"POLYESTER, UNSATURATED FROM PROPYLENE GLYCOL AND ANHYDRIDES BY FUSION PROCESS"
POLYESTER FIBRES,PES POLYMER(PTA),"POLYESTER, UNSATURATED FROM PROPYLENE GLYCOL AND ANHYDRIDES BY FUSION PROCESS"
SAN,VIRGIN RESIN,STYRENE-ACRYLONITRILE RESIN BY CONTINUOUS MASS POLYMERIZATION
SAN,VIRGIN RESIN,STYRENE-ACRYLONITRILE RESIN BY BATCH SUSPENSION POLYMERIZATION
SAN,VIRGIN RESIN,STYRENE-ACRYLONITRILE RESIN BY CONTINUOUS EMULSION POLYMERIZATION
UPE RESINS,0,"POLYESTER, UNSATURATED FROM PROPYLENE GLYCOL AND ANHYDRIDES BY FUSION PROCESS"
UPE RESINS,0,"POLYESTER, UNSATURATED FROM PROPYLENE OXIDE AND ANHYDRIDES BY BATCH PROCESS"
VCM,EDC,VINYL CHLORIDE FROM ETHYLENE DICHLORIDE BY PYROLYSIS USING TOSOH TECHNOLOGY
VCM,EDC,VINYL CHLORIDE FROM ETHYLENE DICHLORIDE BY PYROLYSIS
VCM,ACETYLENE,VINYL CHLORIDE FROM NATURAL GAS VIA ACETYLENE BY ARC PROCESS
VCM,ACETYLENE,"VINYL CHLORIDE FROM ACETYLENE, NEGLIGBLE MERCURY AND VCM EMISSIONS"
VCM,ACETYLENE,VINYL CHLORIDE FROM NATURAL GAS VIA ACETYLENE BY PARTIAL OXIDATION
