,Product,ihs_match
296,BTX,BTX AROMATICS PRODUCTION FROM METHANOL BY TSINGHUA FMTA PROCESS
297,BTX,BTX AROMATICS PRODUCTION FROM NATURAL GAS BY ANELLOTECH BIO-TCAT PROCESS
298,BTX,BTX AROMATICS PRODUCTION FROM NATURAL GAS BY GTC G2A PROCESS
299,BTX,BTX VIA ASAHI ALPHA PROCESS
300,BTX,MITSUBISHI-CHIYODA Z-FORMING PROCESS FOR BTX PRODUCTION BY CATALYTIC REFORMING OF C4 (BUTANES)
301,BTX,SINOPEC LUOYANG GTA PROCESS FOR PRODUCTION OF BTX BY CATALYTIC REFORMING OF C4 RAFFINATE
302,BTX,UOP PROCESS FOR PRODUCTION OF BTX BY CATALYTIC REFORMING OF LPG
303,BUTADIENE,"BIO-BASED 1,3-BUTADIENE PRODUCTION BY AN INDIRECT ROUTE VIA 1,3-BUTANEDIOL SIMILAR TO GENOMATICA PROCESS"
304,BUTADIENE,"ETHANOL TO 1,3-BUTADIENE BY TWO-STAGE AMERICAN PROCESS"
305,BUTADIENE,BUTADIENE VIA TPC OXO-D PROCESS
306,BUTADIENE,BUTADIENE VIA CATADIENE PROCESS
307,BUTADIENE,BUTADIENE RECOVERY BY N-METHYL-2-PYRROLIDONE EXTRACTIVE DISTILLATION UPDATE
308,BUTADIENE,BUTADIENE RECOVERY BY N-METHYL-2-PYRROLIDONE EXTRACTIVE DISTILLATION
309,BUTADIENE,BUTADIENE RECOVERY BY DIMETHYLFORMAMIDE EXTRACTIVE DISTILLATION
310,BUTADIENE,BUTADIENE EXTRACTION BY NMP PROCESS
311,BUTADIENE,BUTADIENE BY INTEGRATED SELECTIVE ACETYLENE HYDROGENATION AND DMF EXTRACTIVE DISTILLATION
312,BUTADIENE,"BIO-BASED 1,3-BUTADIENE PRODUCTION BY A DIRECT ROUTE SIMILAR TO GENOMATICA PROCESS"
313,BUTADIENE,"BIO-BASED 1,3-BUTADIENE BY COBALT CATALYST"
314,BUTADIENE,"1,3-BUTADIENE BY OXIDATIVE DEHYDROGENATION"
315,BUTADIENE,"1,3-BUTADIENE BY BUTANE DEHYDROGENATION PROCESS"
316,BUTADIENE,BUTADIENE FROM N-BUTENES BY OXIDATIVE DEHYDROGENATION
318,BUTANES,BUTANES FROM A STEAM-CRACKED C4 STREAM BY TOTAL HYDROGENATION
320,BUTENE-1,BUTENE-1 OF HIGH PURITY FROM ETHYLENE BY DIMERIZATION
321,BUTENE-1,BUTENE-1 PRODUCTION BY ETHYLENE DIMERIZATION PROCESS
322,BUTENE-1,BUTENE-1 OF HIGH PURITY FROM MTBE PLANT RAFFINATE
323,BUTENE-1,"BUTENE-1 FROM RAFFINATE-1 BY THE UCC ADSORPTION PROCESS, WITHOUT DEISOBUTANIZER"
324,BUTENE-1,BUTENE-1 FROM RAFFINATE-1 BY THE UOP ADSORPTION PROCESS
325,BUTENE-1,"BUTENE-1 BY SELECTIVE HYDROGENATION OF BUTADIENE, 500 PPM BUTADIENE IN PRODUCT"
326,BUTENE-1,"BUTENE-1 BY SELECTIVE HYDROGENATION OF BUTADIENE, 2000 PPM BUTADIENE IN PRODUCT"
327,BUTENE-1,BUTENE-1 BY DISTILLATION OF RAFFINATE-2 FROM MTBE PRODUCTION
328,BUTENE-1,"BUTENE-1 FROM RAFFINATE-1 BY THE UCC ADSORPTION PROCESS, WITH DEISOBUTANIZER"
330,BUTYL RUBBER,BUTYL RUBBER PRODUCTION
331,BUTYL RUBBER,BUTYL RUBBER PRODUCTION USING EXXONMOBIL TECHNOLOGY
332,BUTYLATED HYDROXYTOLUENE,BUTYLATED HYDROXYTOLUENE (ANTIOXIDANT) FROM P-CRESOL AND ISOBUTYLENE
333,BUTYROLACTAM,BUTYROLACTAM (2-PYRROLIDONE) FROM BUTYROLACTONE
334,BUTYROLACTAM,BUTYROLACTAM (2-PYRROLIDONE) FROM MALEIC ANHYDRIDE
335,BUTYROLACTONE,"BUTYROLACTONE FROM 1,4-BUTANEDIOL"
336,BUTYROLACTONE,BUTYROLACTONE FROM MALEIC ANHYDRIDE
337,C12 ALCOHOL,PRODUCTION OF C12-C14 ALCOHOL SPLITTER
338,C4 RAFFINATE,ISOBUTANE DEHYDROGENATION PROCESS
339,C4 RAFFINATE,N-BUTENE SKELETAL ISOMERIZATION PROCESS
341,C5-C6 STREAM,BIOMASS PRETREATMENT USING ORGANOSOLV PROCESS
342,C5-C6 STREAM,BIOMASS PRETREATMENT USING STEAM EXPLOSION AND DILUTE SULFURIC ACID
343,C5-C6 STREAM,BIOMASS PRETREATMENT USING AMMONIA FIBER EXPLOSION (AFEX)
348,CALCIUM FORMATE,CALCIUM FORMATE FROM LIME BY CARBONYLATION
349,CALCIUM HYPOCHLORITE,CALCIUM HYPOCHLORITE FROM LIME AND CAUSTIC SODA BY CHLORINATION
350,CAPROLACTAM,CAPROLACTAM FROM CYCLOHEXANE BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS
351,CAPROLACTAM,CAPROLACTAM FROM CYCLOHEXANE BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS
352,CAPROLACTAM,CAPROLACTAM FROM CYCLOHEXANE BY THE NITRIC OXIDE REDUCTIVE PROCESS
353,CAPROLACTAM,CAPROLACTAM FROM BUTADIENE BY THE DUPONT-DSM PROCESS
354,CAPROLACTAM,"CAPROLACTAM FROM BUTADIENE VIA ADN BY HYDROCYANATION, HYDROGENATION AND CYCLIZATION"
355,CAPROLACTAM,CAPROLACTAM FROM CYCLOHEXANE NITRIC OXIDE HYDROGENATION
356,CAPROLACTAM,CAPROLACTAM VIA GAS PHASE BECKMANN REARRANGEMENT
357,CAPROLACTAM,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION (CONVENTIONAL)"
358,CAPROLACTAM,CAPROLACTAM VIA GAS PHASE REARRANGEMENT
359,CAPROLACTAM,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID
360,CAPROLACTAM,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION"
361,CAPROLACTAM,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS
362,CAPROLACTAM,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS
363,CARBOFURAN,CARBOFURAN PESTICIDE FROM O-NITROCHLOROBENZENE
364,CARBOFURAN,CARBOFURAN PESTICIDE FROM CATECHOL
366,CARBON BLACK (HAF),CARBON BLACK AND HYDROGEN BY METHANE PROCESS
367,CARBON BLACK (HAF),CARBON BLACK BY THE OIL-FURNACE PROCESS USING AIR AS THE OXIDANT GAS
368,CARBON BLACK (HAF),CARBON BLACK BY THE OIL-FURNACE PROCESS USING OXYGEN AS THE OXIDANT GAS
370,CARBON DIOXIDE,CARBON DIOXIDE SEPARATION FROM AMMONIA SYNGAS WITH MONOETHANOLAMINE SOLUTION
371,CARBON DIOXIDE,CARBON DIOXIDE SEPARATION FROM AMMONIA SYNGAS WITH HOT POTASSIUM CARBONATE SOLUTION
372,CARBON DIOXIDE REMOVAL,CARBON CAPTURE USING DIRECT AIR CAPTURE
373,CARBON DIOXIDE REMOVAL,CARBON CAPTURE VIA RAPID TEMPERATURE SWING ADSORPTION
374,CARBON DIOXIDE REMOVAL,CARBON CAPTURE WITH AAMP
375,CARBON DIOXIDE REMOVAL,CARBON DIOXIDE FROM NATURAL GAS BY MEMBRANE SEPARATION
376,CARBON DIOXIDE REMOVAL,FCCU MEA ABSORPTION
377,CARBON DIOXIDE REMOVAL,FCCU OXY-COMB. W/ ONLY FLUE GAS REC. & CO2 COMP. AND DRYING W/ PURCHASED O2
378,CARBON DIOXIDE REMOVAL,FCCU OXY-COMBUSTION
379,CARBON DIOXIDE REMOVAL,"OXY-COMBUSTION, PURCHASED OXYGEN"
380,CARBON DISULFIDE,CARBON DISULFIDE FROM NATURAL GAS
381,"CARBON FIBER, PAN-BASED","CARBON FIBER, PAN-BASED FROM OXIDIZED POLYACRYLONITRILE FIBER"
382,"CARBON FIBER, PAN-BASED","CARBON FIBER, PAN-BASED, CONTINUOUS YARN FROM POLYACRYLONITRILE"
383,"CARBON FIBER, PITCH-BASED","CARBON FIBER, PITCH-BASED FROM OXIDIZED PITCH FIBER"
384,"CARBON FIBER, PITCH-BASED","CARBON FIBER, PITCH-BASED, CONTINUOUS YARN FROM MESOPHASE PITCH"
385,CARBON MONOXIDE,CARBON MONOXIDE FROM SYNTHESIS GAS BY CRYOGENIC SEPARATION
386,CARBON MONOXIDE,CARBON MONOXIDE SEPARATION VIA PARTIAL CONDENSATION FROM SMR (CASE 1)
387,CARBON MONOXIDE,CARBON MONOXIDE SEPARATION VIA PARTIAL CONDENSATION FROM SMR (CASE 2)
389,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE BY PERCHLORINATION OF 1-3 CARBON HYDROCARBONS
390,CARRAGEENAN,CARRAGEENAN FROM SEAWEED BY BATCH EXTRACTION
391,"CATALYST, AMMOXIDATION","CATALYST, AMMOXIDATION, FOR ACRYLONITRILE"
393,"CATALYST, FCC",FCC CATALYST PRODUCTION SIMILAR TO GRACE CATALYST
394,"CATALYST, FCC","CATALYST, FCC, BASED ON ADDITION OF SYNTHETIC ZEOLITE TO MATRIX"
395,"CATALYST, HYDROCRACKING",HYDROCRACKING CATALYST PRODUCTION SIMILAR TO SHELL CATALYST
398,"CATALYST, METALLOCENE",PRODUCTION OF CONVENTIONAL SUPPORTED METALLOCENE CATALYST
402,"CATALYST, RFCC",RFCC CATALYST PRODUCTION SIMILAR TO BASF CATALYST
405,CATALYST/COBALT SALEN,PRODUCTION OF A SINGLE-COMPONENT CO-SALEN HOMOGENEOUS CATALYST FROM A RECOVERED CATALYST PRECURSOR
406,CATALYST/COBALT SALEN,PRODUCTION OF A COBALT-SALEN HOMOGENEOUS CATALYST WITH AN INITIATING LIGAND
408,CAUSTIC SODA (50%),CAUSTIC SODA [CHLORINE-PRODUCT] BY ELECTROLYSIS OF NaCl IN MERCURY CELLS
409,CAUSTIC SODA (50%),CAUSTIC SODA [CHLORINE-PRODUCT] VIA BAYER ODC PROCESS
410,CAUSTIC SODA (50%),CAUSTIC SODA [CHLORINE-PRODUCT] FROM MEMBRANE CELLS
411,CAUSTIC SODA (50%),CAUSTIC SODA [CHLORINE-PRODUCT] FROM DIAPHRAGM CELLS
412,CAUSTIC SODA (50%),CAUSTIC SODA FROM TRONA SOLUTION (SODA ASH CO-PRODUCT)
413,CAUSTIC SODA (50%),CAUSTIC SODA FROM TRONA SOLUTION (NO SODA ASH CO-PRODUCT)
414,CAUSTIC SODA (50%),CAUSTIC SODA FROM SOLID TRONA (SODA ASH CO-PRODUCT)
415,CAUSTIC SODA (50%),CAUSTIC SODA FROM SOLID TRONA (NO SODA ASH CO-PRODUCT)
416,CELLULASE,CELLULASE FROM LACTOSE FEEDSTOCK
417,CELLULASE,CELLULASE FROM CELLULOSIC FEEDSTOCK
419,CELLULOSE ACETATE FLAKE,CELLULOSE ACETATE FLAKE PRODUCTION PROCESS
421,CFC-11,CFC-11 FROM ANHYDROUS HF AND CARBON TETRACHLORIDE
422,CFC-12,CFC-12 FROM ANHYDROUS HF AND CARBON TETRACHLORIDE
426,CHLORINE,CHLORINE FROM HYDROCHLORIC ACID BY ELECTROLYSIS
427,CHLORINE,CHLORINE FROM HYDROCHLORIC ACID BY ELECTROLYSIS WITH ODC
428,CHLORINE,CHLORINE FROM HYDROGEN CHLORIDE BY OXIDATION - CHROMIUM OXIDE CATALYST
429,CHLORINE,CHLORINE FROM HYDROGEN CHLORIDE BY OXIDATION - NITROGEN OXIDE CATALYST
430,CHLORINE,CHLORINE FROM HYDROGEN CHLORIDE BY OXIDATION WITH CHROMIUM BASED CATALYST
431,CHLORINE,CHLORINE FROM HYDROGEN CHLORIDE BY OXIDATION WITH NITROGEN OXIDE CATALYST
432,CHLORINE,CHLORINE FROM HYDROGEN CHLORIDE BY THE DUPONT ELECTROLYTIC PROCESS
433,CHLORINE,CHLORINE [CAUSTIC SODA BY-PRODUCT] BY ELECTROLYSIS OF NaCl IN DIAPHRAGM CELLS
434,CHLORINE,CHLORINE [CAUSTIC SODA BY-PRODUCT] BY ELECTROLYSIS OF NaCl IN MEMBRANE CELLS
435,CHLORINE,CHLORINE [CAUSTIC SODA BY-PRODUCT] BY ELECTROLYSIS OF NaCl IN MERCURY CELLS
436,CHLORINE,CHLORINE [NaOH BY PRODUCT] FROM DIAPHRAGM CELLS
437,CHLORINE,CHLORINE [NaOH BY PRODUCT] FROM MEMBRANE CELLS
438,CHLORINE,CHLORINE FROM HCL BY CHEMICAL OXIDATION
439,CHLORINE,CHLORINE [NaOH BY PRODUCT] VIA BAYER ODC PROCESS
440,CHLORINE DIOXIDE,"CHLORINE DIOXIDE FROM SODIUM CHLORATE, SULFURIC ACID-BASED PROCESS"
441,CHLORINE/CAUSTIC SODA,CHLORINE BY ELECTROLYSIS OF NaCl IN DIAPHRAGM CELLS (ECU BASIS)
442,CHLORINE/CAUSTIC SODA,CHLORINE BY ELECTROLYSIS OF NaCl IN MEMBRANE CELLS (ECU BASIS)
443,CHLORINE/CAUSTIC SODA,CHLORINE BY ELECTROLYSIS OF NaCl IN MERCURY CELLS (ECU BASIS)
444,CHLORINE/CAUSTIC SODA,CHLORINE PRODUCTION BY ELECTROLYSIS OF NaCl IN MERCURY CELLS (ECU BASIS)
445,CHLORINE/CAUSTIC SODA,CHLORINE PRODUCTION FROM DIAPHRAGM CELLS (ECU BASIS)
446,CHLORINE/CAUSTIC SODA,CHLORINE PRODUCTION FROM MEMBRANE CELLS (ECU BASIS)
447,CHLORINE/CAUSTIC SODA,CHLORINE PRODUCTION VIA BAYER ODC PROCESS (ECU BASIS)
448,CHLOROACETIC ACID,CHLOROACETIC ACID BY DIRECT CHLORINATION
449,CHLOROACETIC ACID,CHLOROACETIC ACID FROM ACETIC ACID
450,CHLOROACETYL CHLORIDE,CHLOROACETYL CHLORIDE FROM CHLOROACETIC ACID
451,CHLOROBENZENE,CHLOROBENZENE FROM BENZENE AND CHLORINE
452,CHLOROMETHANES,CHLOROMETHANES FROM METHANE BY THERMAL CHLORINATION
453,CHLOROMETHANES,CHLOROMETHANES FROM METHANOL AND CHLORINE
454,CHLOROPRENE,CHLOROPRENE FROM BUTADIENE BY OXYCHLORINATION
455,CHLOROPRENE,CHLOROPRENE FROM BUTENE BY CHLORINATION
456,CHLOROPRENE,CHLOROPRENE FROM ACETYLENE
457,CHLOROPRENE,CHLOROPRENE FROM BUTADIENE BY CHLORINATION
459,CHLOROTHALONIL,CHLOROTHALONIL BY CHLORINATION OF ISOPHTHALONITRILE
461,CLARIFIED WATER,"CLARIFIED WATER AT 1,700 GALLONS PER MINUTE FROM RAW WATER"
462,CLARIFIED WATER,"CLARIFIED WATER AT 5,000 GALLONS PER MINUTE FROM RAW WATER"
463,CLARIFIED WATER,"CLARIFIED WATER AT 50,000 GALLONS PER MINUTE FROM RAW WATER"
464,CLARIFIED WATER,CLARIFIED WATER AT 500 GALLONS PER MINUTE FROM RAW WATER
484,COOLING WATER,"COOLING WATER AT 1,000 GALLONS PER MINUTE"
485,COOLING WATER,"COOLING WATER AT 25,000 GALLONS PER MINUTE"
486,COOLING WATER,"COOLING WATER AT 5,000 GALLONS PER MINUTE"
487,COOLING WATER,"COOLING WATER AT 75,000 GALLONS PER MINUTE"
492,CRUDE BUTADIENE,CRUDE BUTADIENE BY OXIDATIVE DEHYDROGENATION OF N-BUTENES BY LOW ENERGY PROCESS
493,CRUDE BUTADIENE,CRUDE BUTADIENE BY OXIDATIVE DEHYDROGENATION OF N-BUTENES – DUAL BED PROCESS
494,CUMENE,CUMENE BY A CATALYTIC DISTILLATION PROCESS
495,CUMENE,CUMENE FROM BENZENE AND PROPYLENE
496,CUMENE,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS
497,CUMENE,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS
498,CUMENE,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS
499,CUMENE,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST"
500,CUMENE,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST"
501,CUMENE,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST"
502,CUMENE,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS
504,CYANAMIDE (50% SOLN),CYANAMIDE FROM CALCIUM CYANAMIDE
505,CYANURIC ACID,CYANURIC ACID BY PYROLYSIS OF UREA
506,CYCLIC CARBONATE OLIGOMERS,CYCLIC CARBONATE OLIGOMERS FROM BISPHENOL A
507,CYCLODODECATRIENE,CYCLODODECATRIENE FROM BUTADIENE
508,CYCLOHEXANE,CYCLOHEXANE FROM BENZENE BY HYDROGENATION
510,CYCLOHEXANOL,CYCLOHEXANOL FROM BENZENE BY PARTIAL HYDROGENATION AND HYDRATION
511,CYCLOHEXANOL,CYCLOHEXANOL FROM BENZENE VIA CYCLOHEXENE
512,CYCLOHEXANOL,CYCLOHEXANOL FROM PHENOL BY HYDROGENATION
513,CYCLOHEXANONE,CYCLOHEXANONE BY BIONIC OXIDATION WITH SINOPEC TECHNOLOGY
514,CYCLOHEXANONE,CYCLOHEXANONE VIA CYCLOHEXANE OXIDATION
515,CYCLOHEXANONE OXIME,CYCLOHEXANONE OMINE VIA LIQUID PHASE AMMOXIMATION
516,CYCLOHEXANONE OXIME,CYCLOHEXANONE OXIME FROM CYCLOHEXANONE VIA AMMOXIMATION
517,D-PHENYLALANINE,D-PHENYLALANINE BY BIOCATALYTIC CONVERSION
518,DECABROMODIPHENYL OXIDE,DECABROMODIPHENYL OXIDE FLAME RETARDANT ADDITIVE FROM DIPHENYL OXIDE AND BROMINE
519,DEHEPTANIZER BOTTOMS,UOP XYLENE ISOMERIZATION PROCESS FOR UPGRADING PARA-XYLENE LEAN STREAM TO PARA-XYLENE RICH STREAM
520,DENDRIMER,"DENDRIMER POLYMER FROM 1,4-DIAMINOBUTANE AND ACRYLONITRILE"
522,"DGDB POLYMER, ALIPHATIC/AROMATIC",ALIPHATIC/AROMATIC COPOLYESTER PROCESS
523,"DGDB POLYMER, PCL","POLYMERS, DEGRADABLE, POLYCAPROLACTONE FROM CAPROLACTONE BY A BATCH PROCESS"
524,"DGDB POLYMER, PHBV","POLYMERS, DEGRADABLE, POLYHYDROXYBUTYRATE-VALERATE BY BACTERIAL FERMENTATION"
525,"DGDB POLYMER, POLY(LACTIC ACID)",POLY(LACTIC ACID) BY A PROCESS SIMILAR TO UHDE INVENTA-FISCHER PLANEO®
526,"DGDB POLYMER, POLY(LACTIC ACID)",POLY(LACTIC ACID) BY RING-OPENING POLYMERIZATION
527,"DGDB POLYMER, POLYLACTIDE","POLYMERS, DEGRADABLE, POLYLACTIDE FROM L-LACTIC ACID BY A CONTINUOUS PROCESS"
528,"DGDB POLYMER, SAGPS","POLYMERS, DEGRADABLE, STARCH ACETATE-GRAFT-POLYSTYRENE COPOLYMER PROCESS"
529,"DGDB POLYMER, STARCH/EVOH","POLYMERS, DEGRADABLE, STARCH/VINYL ALCOHOL COPOLYMER BY A CONTINUOUS EXTRUSION PROCESS"
530,"DGDB POLYMER, STARCH/PCL",STARCH/POLYCAPROLACTONE BLEND PROCESS
531,DGEBPA,DIGLYCIDYL ETHER OF BISPHENOL A BY A BATCH PROCESS
532,DGEBPA,DIGLYCIDYL ETHER OF BISPHENOL A BY A CONTINUOUS PROCESS
533,DGEBPA,"DIGLYCIDYL ETHER OF BISPHENOL A BY CONTINUOUS PROCESS, INTEGRATED"
534,DGEBPA,DIGLYCIDYL ETHER OF BISPHENOL A BY UPDATED BATCH PROCESS
535,DGEBPA,DIGLYCIDYL ETHER OF BISPHENOL A BY UPDATED CONTINUOUS PROCESS
536,DI(2-ETHYLHEXYL) ADIPATE,DI(2-ETHYLHEXYL) ADIPATE BY ESTERIFICATION
537,DI(2-ETHYLHEXYL) PHTHALATE,DI(2-ETHYLHEXYL) PHTHALATE BY ESTERI FICATION
538,DI-N-PROPYLAMINE,DI-N-PROPYLAMINE FROM PROPIONITRILE
539,DIALKYL SULFOSUCCINATES,DIALKYL SULFOSUCCINATES FROM MALEIC ANHYDRIDE BY ESTERIFICATION AND SULFONATION
541,DIAMMONIUM PHOSPHATE,DIAMMONIUM PHOSPHATE GRANULAR FERTILIZER (18-46-0)
546,DIESEL,DIESEL BY SLURRY PHASE HYDROCRACKING VIA ENI TECHNOLOGY
547,DIESEL,DIESEL BY SLURRY PHASE HYDROCRACKING VIA UOP UNIFLEX TECHNOLOGY
548,DIESEL,DIESEL FROM BRIGHTMARK PLASTIC PYROLYSIS PROCESS
549,DIESEL,DIESEL FROM HIGH-PRESSURE HYDROCRACKING
550,DIESEL,DIESEL FROM IHSM CONCEPTUAL DESIGN FOR A LARGE-SCALE WASTE PLASTIC PYROLYSIS PLANT
551,DIESEL,DIESEL FROM MILD HYDROCRACKING
552,DIESEL,DIESEL BY SLURRY PHASE HYDROCRACKING VIA KBR VCC TECHNOLOGY
553,DIESEL,DIESEL FUEL BY ENI SLURRY HYDROPROCESSING TECHNOLOGY
554,DIESEL & NAPHTHA,SASOL SLURRY-PHASE DISTILLATE PROCESS FOR GTL FROM NATURAL GAS
555,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH, VIA GAS TO LIQUIDS TECHNOLOGY SYNTROLEUM FISCHER TROPSCH PROCESS"
556,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH, VIA GAS TO LIQUIDS TECHNOLOGY SHELL FISCHER TROPSCH PROCESS"
557,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH, VIA GAS TO LIQUIDS TECHNOLOGY SASOL FISCHER TROPSCH PROCESS"
558,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH, SYNTHESIS VIA REACTIVE DISTILLATION"
559,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH, SYNTHESIS VIA LOW BOILING SOLVENT SLURRY PHASE"
560,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH VIA SASOL ATR PROCESS"
561,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH VIA CONOCO CPOX PROCESS"
562,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH VIA BP-CREF PROCESS"
563,"DIESEL, FISCHER-TROPSCH","DIESEL, FISCHER-TROPSCH FROM BIOMASS"
564,"DIESEL, LOW AROMATICS","DIESEL, LOW AROMATICS, BY THE SATURATION OF AROMATICS IN DIESEL FUEL"
565,"DIESEL, LOW SULFUR","DIESEL, LOW SULFUR, BY HYDRODESULFURIZATION"
566,"DIESEL, NEAR-ZERO SULFUR","DIESEL,NEAR-ZERO SULFUR, BY HYDROTREATING"
567,"DIESEL, NEAR-ZERO SULFUR","DIESEL, NEAR-ZERO SULFUR, BY S-ZORB PROCESS"
575,DIISODECYL ADIPATE,DIISODECYL ADIPATE FOR SYNLUBE BASE STOCK
576,DIISONONYL PHTHALATE,DIISONONYL PHTHALATE FROM ESTERIFICATION OF PHTHALIC ANHYDRIDE WITH ISONONYL ALCOHOL
580,DIISOPROPYL ETHER,DIISOPROPYL ETHER BY THE MOBIL PROCESS
581,DILAURYL THIODIPROPIONATE,DILAURYL THIODIPROPIONATE (ANTIOXIDANT)
583,DIMETHYL CARBONATE,DIMETHYL CARBONATE BY VAPOR-PHASE OXIDATIVE CARBONYLATION
584,DIMETHYL CARBONATE,DIMETHYL CARBONATE BY CDTECH PROCESS
585,DIMETHYL CARBONATE,DIMETHYL CARBONATE BY LIQUID-PHASE OXIDATIVE CARBONYLATION
586,DIMETHYL CARBONATE,DIMETHYL CARBONATE BY UBE INDIRECT GAS PHASE PROCESS
587,DIMETHYL CARBONATE,DIMETHYL CARBONATE BY VERSALIS/CB&I PROCESS
588,DIMETHYL CARBONATE,DIMETHYL CARBONATE FROM METHANOL AND UREA
589,DIMETHYL ETHER,DIMETHYL ETHER VIA METHANOL BY DEHYDRATION
590,DIMETHYL ETHER,DIMETHYL ETHER PRODUCTION PROCESS VIA TOYO TECHNOLOGY
591,DIMETHYL ETHER,DIMETHYL ETHER BY INTEGRATED METHANOL-DME PROCESS OF HALDOR TOPSOE
592,DIMETHYL ETHER,DIMETHYL ETHER BY JFE SINGLE-STEP SYNTHESIS PROCESS
593,DIMETHYL ETHER,DIMETHYL ETHER BY A SINGLE-STEP PROCESS
594,DIMETHYL ETHER,DIMETHYL ETHER FROM COAL BY INTEGRATED METHANOL-DME PROCESS OF HALDOR TOPSOE
597,DIMETHYL SULFOXIDE,DIMETHYL SULFOXIDE FROM DIMETHYL SULFIDE
598,DIMETHYL TEREPHTHALATE,DMT BY CHEMICAL RECYCLING OF PET BY A PROCESS SIMILAR TO EASTMAN’S METHANOLYSIS PROCESS
599,DIMETHYL TEREPHTHALATE,DIMETHYL TEREPHTHALATE FROM p-XYLENE BY SUCCESSIVE OXIDATIONS AND ESTERIFICATIONS
600,DIMETHYL TEREPHTHALATE,DIMETHYL TEREPHTHALATE FROM RECYCLE POLYETHYLENE TEREPHTHALATE FILM BY METHANOLYSIS
601,DIMETHYL TEREPHTHALATE,DIMETHYL TEREPHTHALATE FROM P-XYLENE BY OXIDATIONS AND ESTERIFICATIONS
602,DIMETHYL TEREPHTHALATE,DIMETHYL TEREPHTHALATE FROM CRUDE TEREPHTHALIC ACID BY ESTERIFICATION WITH METHANOL
603,DIMETHYLACETAMIDE,"N,N-DIMETHYLACETAMIDE FROM ACETIC ACID AND DIMETHYLAMINE"
607,DIMETHYLDICHLOROSILANE,DIMETHYLDICHLOROSILANE FROM SILICON AND METHYL CHLORIDE
608,DIMETHYLFORMAMIDE,"N,N-DIMETHYLFORMAMIDE FROM DIMETHYLAMINE AND CARBON MONOXIDE"
610,DINCH,"1,2-CYCLOHEXANEDICARBOXYLIC ACID DIISONONYL ESTER BY CONTINUOUS CATALYTIC HYDROGENATION OF DIISONONYL PHTHALATE"
611,DINITROTOLUENE,DINITROTOLUENE FROM TOLUENE BY NITRATION
612,DIOCTYL ADIPATE,DIOCTYL ADIPATE FROM ADIPIC ACID AND 2-ETHYLHEXYL ALCOHOL
613,DIOCTYL PHTHALATE,DI(2-ETHYLHEXYL)PHTHALATE (DI-OCTYL PHTHALATE) FROM PHTHALIC ANHYDRIDE
614,DIOCTYL TEREPHTHALATE,DIOCTYL TEREPHTHALATE FROM TEREPHTHALIC ACID AND 2-ETHYLHEXANOL IN A CONTINUOUS PROCESS
616,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION BY A PROCESS SIMILAR TO UBE PROCESS
617,DIPHENYL CARBONATE,DIPHENYL CARBONATE VIA DIMETHYL CARBONATE BY OXIDATIVE CARBONYLATION AND REACTIVE DISTILLATION
618,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION BY ASAHI KASEI PROCESS
619,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION BY A PROCESS SIMILAR TO GE PROCESS
620,DIPHENYL CARBONATE,DIPHENYL CARBONATE BY DIRECT PHOSGENATION WITH FIXED-BED REACTORS
621,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION BY A PHOSGENE PROCESS
622,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION BY A DIALKYL CARBONATE ROUTE
