,ihs_match,PRODUCT,ROUTE,TECHNOLOGY,LICENSOR
356,CAPROLACTAM FROM CYCLOHEXANE NITRIC OXIDE HYDROGENATION,CAPROLACTAM,CYCLOHEXANE,OXIMATION,n.a.
363,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION",CAPROLACTAM,CYCLOHEXANE,OXIMATION,n.a.
358,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION (CONVENTIONAL)",CAPROLACTAM,CYCLOHEXANE,OXIMATION,n.a.
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,CYCLOHEXANE,OXIMATION,n.a.
353,CAPROLACTAM FROM CYCLOHEXANE BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
354,CAPROLACTAM FROM CYCLOHEXANE BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
355,CAPROLACTAM FROM CYCLOHEXANE BY THE NITRIC OXIDE REDUCTIVE PROCESS,CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
356,CAPROLACTAM FROM CYCLOHEXANE NITRIC OXIDE HYDROGENATION,CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
363,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION",CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
358,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION (CONVENTIONAL)",CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,CYCLOHEXANE,PHOTONITROSATION,TORAY INDUSTRIES
353,CAPROLACTAM FROM CYCLOHEXANE BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
354,CAPROLACTAM FROM CYCLOHEXANE BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
355,CAPROLACTAM FROM CYCLOHEXANE BY THE NITRIC OXIDE REDUCTIVE PROCESS,CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
356,CAPROLACTAM FROM CYCLOHEXANE NITRIC OXIDE HYDROGENATION,CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
363,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION",CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
358,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION (CONVENTIONAL)",CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,CYCLOHEXANE,n.a.,n.a.
351,CAPROLACTAM FROM BUTADIENE BY THE DUPONT-DSM PROCESS,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
352,"CAPROLACTAM FROM BUTADIENE VIA ADN BY HYDROCYANATION, HYDROGENATION AND CYCLIZATION",CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
353,CAPROLACTAM FROM CYCLOHEXANE BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
354,CAPROLACTAM FROM CYCLOHEXANE BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
355,CAPROLACTAM FROM CYCLOHEXANE BY THE NITRIC OXIDE REDUCTIVE PROCESS,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
356,CAPROLACTAM FROM CYCLOHEXANE NITRIC OXIDE HYDROGENATION,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
363,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION",CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
358,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION (CONVENTIONAL)",CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
361,CAPROLACTAM VIA GAS PHASE BECKMANN REARRANGEMENT,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
362,CAPROLACTAM VIA GAS PHASE REARRANGEMENT,CAPROLACTAM,IMP-CHXONE,n.a.,n.a.
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,ALLIED SIGNAL
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,ALLIED SIGNAL
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,INVENTA AG
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,INVENTA AG
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,LEUNA WERKE
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,LEUNA WERKE
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,LUWA (BULG.)
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,LUWA (BULG.)
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,MONTEDISON
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,MONTEDISON
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,STAMICARBON
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,STAMICARBON
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,n.a.
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,OXIMATION,n.a.
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,n.a.,n.a.
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,PHENOL,n.a.,n.a.
351,CAPROLACTAM FROM BUTADIENE BY THE DUPONT-DSM PROCESS,CAPROLACTAM,SCRAP,RECYCLE,n.a.
352,"CAPROLACTAM FROM BUTADIENE VIA ADN BY HYDROCYANATION, HYDROGENATION AND CYCLIZATION",CAPROLACTAM,SCRAP,RECYCLE,n.a.
353,CAPROLACTAM FROM CYCLOHEXANE BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,SCRAP,RECYCLE,n.a.
354,CAPROLACTAM FROM CYCLOHEXANE BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,SCRAP,RECYCLE,n.a.
355,CAPROLACTAM FROM CYCLOHEXANE BY THE NITRIC OXIDE REDUCTIVE PROCESS,CAPROLACTAM,SCRAP,RECYCLE,n.a.
356,CAPROLACTAM FROM CYCLOHEXANE NITRIC OXIDE HYDROGENATION,CAPROLACTAM,SCRAP,RECYCLE,n.a.
363,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION",CAPROLACTAM,SCRAP,RECYCLE,n.a.
358,"CAPROLACTAM FROM CYCLOHEXANE, NITRIC OXIDE HYDROGENATION (CONVENTIONAL)",CAPROLACTAM,SCRAP,RECYCLE,n.a.
357,CAPROLACTAM FROM PHENOL BY HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,SCRAP,RECYCLE,n.a.
359,CAPROLACTAM FROM PHENOL BY THE HYDROXYLAMINE PHOSPHATE OXIME PROCESS,CAPROLACTAM,SCRAP,RECYCLE,n.a.
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,SCRAP,RECYCLE,n.a.
361,CAPROLACTAM VIA GAS PHASE BECKMANN REARRANGEMENT,CAPROLACTAM,SCRAP,RECYCLE,n.a.
362,CAPROLACTAM VIA GAS PHASE REARRANGEMENT,CAPROLACTAM,SCRAP,RECYCLE,n.a.
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,TOLUENE,OXIDATION,SNIA
360,CAPROLACTAM FROM TOLUENE VIA CYCLOHEXANE CARBOXYLIC ACID,CAPROLACTAM,TOLUENE,n.a.,n.a.
122,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS,CATALYTIC CRACKING,DEEP CATCRACKING,IOCL,n.a.
125,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS,CATALYTIC CRACKING,DEEP CATCRACKING,LUMMUS,n.a.
120,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS,CATALYTIC CRACKING,DEEP CATCRACKING,SINOPEC,n.a.
124,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS,CATALYTIC CRACKING,DEEP CATCRACKING,STONE & WEBSTER,n.a.
129,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS,CATALYTIC CRACKING,DEEP CATCRACKING,UNIVERSAL OIL PRODUCTS CO,n.a.
118,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS,CATALYTIC CRACKING,DEEP CATCRACKING,n.a.,n.a.
127,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,AXENS,n.a.
131,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,CHEVRON,n.a.
105,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,ESSO RESEARCH & ENGENEERI,n.a.
117,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,HOUDRY PROCESS & CHEM.,n.a.
128,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,IFP-TOTAL,n.a.
123,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,IOCL,n.a.
107,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,KELLOGG,n.a.
130,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,LUMMUS,n.a.
113,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,SHELL,n.a.
119,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,SINOPEC,n.a.
115,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,STONE & WEBSTER,n.a.
116,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,TEXACO,n.a.
108,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,UNIVERSAL OIL PRODUCTS CO,n.a.
104,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CAT-CRACKING,n.a.,n.a.
126,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,AXENS,n.a.
133,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,ESSO RESEARCH & ENGENEERI,n.a.
109,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,IFP-TOTAL,n.a.
132,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,INSTITUT FRANCAISE DU PET,n.a.
110,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,KELLOGG,n.a.
114,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,SHELL,n.a.
111,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,STONE & WEBSTER,n.a.
103,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,UNIVERSAL OIL PRODUCTS CO,n.a.
106,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,FLUID CATCRACKING-RESID,n.a.,n.a.
121,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,THERMAL CAT-CRACKING,MOBIL,n.a.
112,"GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING",CATALYTIC CRACKING,THERMAL CAT-CRACKING,n.a.,n.a.
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,CHLORINATION,BIAZZI/KREBSKOSMO
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,CHLORINATION,CLARSIS ORGANICS
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,CHLORINATION,ENICHEM
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,CHLORINATION,IBI PRIVATE
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,CHLORINATION,SULZER BROS
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,CHLORINATION,n.a.
452,CHLOROBENZENE FROM BENZENE AND CHLORINE,CHLOROBENZENES,BENZENE,n.a.,n.a.
142,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,AMOCO,n.a.
144,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,BECHTEL CORPORATION,n.a.
149,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,CB&I,n.a.
145,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,CHEVRON,n.a.
135,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,CONOCO,n.a.
136,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,ESSO RESEARCH & ENGENEERI,n.a.
137,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,FOSTER & WHEELER,n.a.
138,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,KELLOGG,n.a.
143,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,LUMMUS,n.a.
146,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,UNIVERSAL OIL PRODUCTS CO,n.a.
134,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-DELAYED,n.a.,n.a.
141,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-F/D,n.a.,n.a.
140,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-FLUID,ESSO RESEARCH & ENGENEERI,n.a.
147,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-FLUID,n.a.,n.a.
139,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-FXC,ESSO RESEARCH & ENGENEERI,n.a.
148,GREEN COKE FROM VACUUM RESID BY DELAYED COKING,COKING,COKING-FXC,n.a.,n.a.
154,,CRUDE,CONDENSATE DISTILLATION,UNIVERSAL OIL PRODUCTS CO,n.a.
152,,CRUDE,CONDENSATE DISTILLATION,ZICOM,n.a.
151,,CRUDE,CONDENSATE DISTILLATION,n.a.,n.a.
153,,CRUDE,CRUDE,CHEMEX,n.a.
150,,CRUDE,CRUDE,n.a.,n.a.
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
503,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
502,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
501,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
497,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
500,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
499,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
498,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,BADGER/MOBIL
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
503,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
502,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
501,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
497,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
500,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
499,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
498,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,CDTECH
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
503,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
502,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
501,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
497,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
500,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
499,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
498,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,ICI/UOP
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
503,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
502,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
501,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
497,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
500,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
499,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
498,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,LUMMUS
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
503,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
502,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
501,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
497,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
500,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
499,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
498,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MITSUI PETROCHEMICAL
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
503,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
502,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE UOP Q-MAX™ PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
501,CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE BY THE VERSALIS/LUMMUS PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
497,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ALUMINUM CHLORIDE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
500,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, SOLID PHOSPHORIC ACID CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
499,"CUMENE FROM BENZENE AND REFINERY GRADE PROPYLENE, ZOELITE CATALYST",CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
498,CUMENE FROM REFINERY-GRADE PROPYLENE BY BADGER PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,MONSANTO
505,CUMENE BY A CATALYTIC DISTILLATION PROCESS,CUMENE,BENZENE/PROPYLENE,ALKYLATION,RHONE POULENC/MONSANTO
504,CUMENE FROM BENZENE AND PROPYLENE,CUMENE,BENZENE/PROPYLENE,ALKYLATION,RHONE POULENC/MONSANTO
